        Name,Clock.Today,ExtraVariables.Script.AccumPlantN,ExtraVariables.Script.AccumMineralisation,ExtraVariables.Script.AccumDenit,ExtraVariables.Script.AccumFert,ExtraVariables.Script.AccumLeach,ExtraVariables.Script.AccumDetach,ExtraVariables.Script.DeltaSoilOMN,ExtraVariables.Script.DeltaSurfaceOMN,ExtraVariables.Script.DeltaSoilMineralN,ExtraVariables.Script.SWC,ExtraVariables.Script.DUL,ExtraVariables.Script.OutFlowLat,ExtraVariables.Script.AccumEO,ExtraVariables.Script.AccumEP,ExtraVariables.Script.AccumES,ExtraVariables.Script.AccumDrainage,ExtraVariables.Script.AccumRunoff,ExtraVariables.Script.AccumRainfall,ExtraVariables.Script.AccumIrrigation,ExtraVariables.Script.AccumOutflowLat,ExtraVariables.Script.SoilWaterDeficit,ExtraVariables.Script.SoilNitrogenContent,ExtraVariables.Script.FomN,ExtraVariables.Script.HumN,ExtraVariables.Script.BiomN,ExtraVariables.Script.DltNMinRes,ExtraVariables.Script.DltNMinTot,MicroClimate.net_radn,MicroClimate.peta,MicroClimate.petr,Soil.SoilWater.Drainage,Soil.SoilWater.Runoff,Soil.SoilWater.Eo,Soil.SoilWater.Es,Soil.SoilWater.pond,Soil.SoilWater.SWmm(1),Soil.SoilWater.SWmm(2),Soil.SoilWater.SWmm(3),Soil.SoilWater.SWmm(4),Soil.SoilWater.SWmm(5),Soil.SoilWater.SWmm(6),Soil.NO3N(1),Soil.NO3N(2),Soil.NO3N(3),Soil.NO3N(4),Soil.NO3N(5),Soil.NO3N(6),MCSP.Leaf.Live.Wt,MCSP.Root.Live.Wt,MCSP.Product.Live.Wt,MCSP.Leaf.Live.N,MCSP.Root.Live.N,MCSP.Product.Live.N,MCSP.Leaf.Live.NConc,MCSP.Root.Live.NConc,MCSP.Product.Live.NConc,MCSP.Root.WaterSupply,MCSP.Root.WaterUptake,MCSP.Leaf.Transpiration,MCSP.Leaf.WaterDemand,MCSP.Root.Depth,MCSP.Leaf.CoverTotal,MCSP.Leaf.CoverDead,MCSP.Leaf.LAI,MCSP.Leaf.Height,MCSP.Leaf.PotentialBiomass.Value,MCSP.Product.LiveFWt,MCSP.OrganArbitrator.NDemand,MCSP.OrganArbitrator.NSupply,MCSP.Leaf.Fw,MCSP.Leaf.Fn,MCSP.Summariser.Total.Wt,MCSP.ExpectedYield.Value,MCSP.DryYield.Value,MCSP.TotalBiomassAtStartReproductive.Value,MCSP.TotalBiomassAtStartSenescence.Value,MCSP.Ymax.Value,MCSP.Summariser.Total.N,MCSP.OrganArbitrator.DMSupply,MCSP.OrganArbitrator.DMDemand,MCSP.Phenology.AccumulatedThermalTime.Value
MCSPTestBase, 1998-10-14,                            0.000,                                    0.000,                           0.000,                          0.000,                           0.000,                            0.000,                             0.000,                                0.000,                                  0.000,                  282.312,                  285.000,                           0.000,                       -4.928,                        0.000,                       -3.174,                             -0.014,                            0.000,                              0.500,                                0.000,                                0.000,                                 0.000,                                  310.000,                    39.443,                 14794.901,                    138.877,                           0.000,                           0.000,               16.476,            0.000,            0.000,                  0.014,                0.000,            4.928,            3.174,                   ,                31.858,                64.317,                93.068,                45.037,                30.021,                18.011,     267.928,      31.266,       5.061,       4.989,       0.001,       0.000,            0.000,            0.200,               0.000,           0.000,           0.002,              0.000,               0.000,               0.009,                  0.000,                     ,                0.000,                  0.000,                0.000,         17.100,               0.000,              0.000,        0.000,           0.000,                           1.059,               0.000,                       0.000,                       0.000,       1.000,            ,                   0.200,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.002,                        0.000,                        0.000,                                      0.000
MCSPTestBase, 1998-10-15,                            0.000,                                   -0.059,                           0.000,                         50.000,                           0.000,                            0.000,                             0.980,                               -0.237,                                 -0.743,                  281.509,                  285.000,                           0.000,                       -6.585,                        0.000,                       -4.252,                             -0.039,                            0.000,                              0.800,                                0.000,                                0.000,                                -2.688,                                  309.257,                    38.903,                 14794.894,                    139.991,                          -0.683,                          -0.059,                5.830,            0.000,            0.000,                  0.025,                0.000,            1.657,            1.078,                   ,                31.599,                63.798,                93.031,                45.034,                30.028,                18.020,     269.425,      31.016,       5.052,       4.976,       0.001,       0.000,            0.000,            0.200,               0.000,           0.000,           0.002,              0.000,               0.000,               0.009,                  0.000,                     ,                0.000,                  0.000,                0.000,         22.600,               0.000,              0.000,        0.000,           0.000,                           0.000,               0.000,                       0.000,                       0.000,       1.000,            ,                   0.200,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.002,                        0.000,                        0.000,                                      0.000
MCSPTestBase, 1998-10-16,                            0.000,                                   -0.112,                           0.000,                         50.000,                           0.000,                            0.000,                             1.548,                               -0.370,                                 48.822,                  292.193,                  285.000,                           0.000,                       -8.868,                        0.000,                       -5.747,                             -0.260,                            0.000,                             13.200,                                0.000,                                0.000,                                -3.491,                                  358.822,                    38.416,                 14794.897,                    141.138,                          -0.382,                          -0.053,                8.138,            0.000,            0.000,                  0.222,                0.000,            2.283,            1.495,                   ,                36.455,                67.731,                93.966,                45.546,                30.313,                18.181,     233.995,      66.084,       7.026,       4.983,       0.067,       0.001,            0.000,            0.200,               0.000,           0.000,           0.002,              0.000,               0.000,               0.009,                  0.000,                     ,                0.000,                  0.000,                0.000,         28.125,               0.012,              0.000,        0.023,         150.000,                           0.586,               0.000,                       0.000,                       0.000,       1.000,            ,                   0.200,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.002,                        0.000,                        0.000,                                     11.050
MCSPTestBase, 1998-10-17,                            0.000,                                   -0.155,                          -0.473,                         50.000,                           0.000,                            0.000,                             2.211,                               -0.530,                                 47.846,                  288.797,                  285.000,                           0.000,                      -13.208,                        0.000,                       -8.552,                             -0.817,                            0.000,                             13.200,                                0.000,                                0.000,                                 7.193,                                  357.846,                    37.898,                 14794.879,                    142.089,                          -0.460,                          -0.043,               16.075,            0.034,            0.001,                  0.556,                0.000,            4.340,            2.805,                   ,                32.893,                66.456,                94.333,                45.979,                30.679,                18.455,     225.391,      74.903,       9.117,       5.003,       0.186,       0.003,            0.528,            0.259,               0.000,           0.003,           0.002,              0.000,               0.005,               0.009,                  0.000,                     ,                0.035,                  0.035,                0.035,         32.775,               0.013,              0.000,        0.025,         150.000,                           0.517,               0.000,                       0.003,                       0.003,       1.000,       1.000,                   0.786,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.005,                        0.586,                        0.586,                                     20.350
MCSPTestBase, 1998-10-18,                           -0.032,                                   -0.199,                          -0.484,                         50.000,                           0.000,                            0.000,                             2.626,                               -0.626,                                 47.484,                  284.613,                  285.000,                           0.000,                      -18.382,                       -0.035,                      -11.904,                             -1.581,                            0.000,                             13.200,                                0.000,                                0.000,                                 3.797,                                  357.484,                    37.320,                 14794.869,                    143.289,                          -0.275,                          -0.044,               17.702,            0.065,            0.002,                  0.764,                0.000,            5.174,            3.352,                   ,                31.648,                64.031,                93.713,                45.833,                30.764,                18.625,     230.494,      72.446,       9.321,       4.970,       0.280,       0.008,            0.993,            0.310,               0.000,           0.005,           0.003,              0.000,               0.005,               0.009,                  0.000,                     ,                0.067,                  0.067,                0.067,         39.225,               0.014,              0.000,        0.028,         150.000,                           0.754,               0.000,                       0.003,                       0.003,       1.000,       1.000,                   1.303,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.008,                        0.517,                        0.517,                                     33.250
MCSPTestBase, 1998-10-19,                           -0.060,                                   -0.241,                          -0.485,                         50.000,                          -0.001,                            0.000,                             3.237,                               -0.773,                                 46.990,                  282.009,                  285.000,                           0.000,                      -21.548,                       -0.102,                      -13.679,                             -2.359,                            0.000,                             13.200,                                0.000,                                0.000,                                -0.387,                                  356.990,                    36.765,                 14794.866,                    144.560,                          -0.422,                          -0.042,               10.361,            0.050,            0.001,                  0.779,                0.000,            3.166,            1.775,                   ,                31.050,                62.802,                93.321,                45.551,                30.647,                18.637,     234.408,      71.346,       9.296,       4.926,       0.337,       0.014,            1.672,            0.386,               0.000,           0.008,           0.003,              0.000,               0.005,               0.009,                  0.000,                     ,                0.051,                  0.051,                0.051,         46.925,               0.016,              0.000,        0.032,         150.000,                           0.961,               0.000,                       0.004,                       0.004,       1.000,       1.000,                   2.058,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.012,                        0.754,                        0.754,                                     48.650
MCSPTestBase, 1998-10-20,                           -0.100,                                   -0.275,                          -0.486,                         50.000,                          -0.001,                            0.000,                             3.950,                               -0.948,                                 46.410,                  279.595,                  285.000,                           0.000,                      -24.612,                       -0.153,                      -15.682,                             -3.026,                            0.000,                             13.500,                                0.000,                                0.000,                                -2.991,                                  356.410,                    36.203,                 14794.829,                    145.451,                          -0.504,                          -0.034,               11.035,            0.043,            0.001,                  0.667,                0.000,            3.063,            2.002,                   ,                30.472,                61.634,                93.144,                45.327,                30.471,                18.546,     238.251,      70.321,       9.291,       4.891,       0.365,       0.017,            2.537,            0.482,               0.000,           0.013,           0.004,              0.000,               0.005,               0.009,                  0.000,                     ,                0.045,                  0.045,                0.045,         52.175,               0.017,              0.000,        0.035,         150.000,                           0.695,               0.000,                       0.005,                       0.005,       1.000,       1.000,                   3.019,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.017,                        0.961,                        0.961,                                     59.150
MCSPTestBase, 1998-10-21,                           -0.152,                                   -0.302,                          -0.486,                         50.000,                          -0.002,                            0.000,                             4.243,                               -1.016,                                 46.133,                  276.258,                  285.000,                           0.000,                      -29.701,                       -0.197,                      -18.440,                             -3.537,                            0.000,                             13.500,                                0.000,                                0.000,                                -5.405,                                  356.133,                    35.598,                 14794.782,                    146.344,                          -0.197,                          -0.027,               17.980,            0.064,            0.003,                  0.510,                0.000,            5.090,            2.759,                   ,                29.515,                60.021,                92.809,                45.183,                30.313,                18.418,     243.050,      68.539,       9.272,       4.865,       0.377,       0.018,            3.162,            0.551,               0.000,           0.016,           0.005,              0.000,               0.005,               0.009,                  0.000,                     ,                0.067,                  0.067,                0.067,         58.025,               0.019,              0.000,        0.038,         150.000,                           0.814,               0.000,                       0.004,                       0.004,       1.000,       1.000,                   3.713,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.021,                        0.695,                        0.695,                                     70.850
MCSPTestBase, 1998-10-22,                           -0.190,                                   -0.323,                          -0.486,                         50.000,                          -0.003,                            0.000,                             4.483,                               -1.073,                                 45.911,                  274.631,                  285.000,                           0.000,                      -33.422,                       -0.265,                      -20.872,                             -3.891,                            0.000,                             14.700,                                0.000,                                0.000,                                -8.742,                                  355.911,                    35.034,                 14794.727,                    147.072,                          -0.162,                          -0.021,               14.146,            0.039,            0.002,                  0.355,                0.000,            3.721,            2.432,                   ,                29.194,                59.430,                92.449,                45.082,                30.186,                18.290,     246.504,      67.781,       9.247,       4.845,       0.377,       0.018,            3.895,            0.633,               0.000,           0.019,           0.006,              0.000,               0.005,               0.009,                  0.000,                     ,                0.041,                  0.041,                0.041,         62.350,               0.020,              0.000,        0.041,         150.000,                           0.630,               0.000,                       0.004,                       0.004,       1.000,       1.000,                   4.527,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.025,                        0.814,                        0.814,                                     79.500
MCSPTestBase, 1998-10-23,                           -0.234,                                   -0.335,                          -0.486,                         50.000,                          -0.003,                            0.000,                             4.592,                               -1.098,                                 45.783,                  272.903,                  285.000,                           0.000,                      -38.348,                       -0.306,                      -22.490,                             -4.121,                            0.000,                             14.900,                                0.000,                                0.000,                               -10.369,                                  355.783,                    34.524,                 14794.672,                    147.702,                          -0.072,                          -0.012,               17.898,            0.076,            0.004,                  0.230,                0.000,            4.926,            1.618,                   ,                28.788,                58.796,                91.990,                45.037,                30.104,                18.188,     249.789,      66.833,       9.211,       4.831,       0.374,       0.017,            4.462,            0.696,               0.000,           0.022,           0.006,              0.000,               0.005,               0.009,                  0.000,                     ,                0.080,                  0.080,                0.080,         67.525,               0.022,              0.000,        0.045,         150.000,                           0.788,               0.000,                       0.003,                       0.003,       1.000,       1.000,                   5.158,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.029,                        0.630,                        0.630,                                     89.850
