                           Name,Observed.Clock.Today,Predicted.Clock.Today,Observed.ExtraVariables.Script.AccumTtemerg,Predicted.ExtraVariables.Script.AccumTtemerg,Observed.Potato.Leaf.Live.Wt,Predicted.Potato.Leaf.Live.Wt,Observed.Potato.Stem.Live.Wt,Predicted.Potato.Stem.Live.Wt,Observed.Potato.Tuber.Live.Wt,Predicted.Potato.Tuber.Live.Wt,Observed.Potato.Stem.Live.N,Predicted.Potato.Stem.Live.N,Observed.Potato.Tuber.Live.N,Predicted.Potato.Tuber.Live.N,Observed.Potato.Leaf.LAI,Predicted.Potato.Leaf.LAI,Observed.Potato.Leaf.SpecificArea,Predicted.Potato.Leaf.SpecificArea,Observed.PotatoHarvestRule.Script.FinalTag,Predicted.PotatoHarvestRule.Script.FinalTag,Observed.Potato.Tuber.LiveFWt,Predicted.Potato.Tuber.LiveFWt
  BaxtersSowing14OctPopulation2,          1999-04-27,           1999-04-21,                                           ,                                    1940.554,                            ,                        0.000,                            ,                      143.078,                     1565.910,                      1291.626,                           ,                       4.543,                            ,                       23.241,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                      yield,                     6390.690,                      5871.028
  BaxtersSowing14OctPopulation4,          1999-04-27,           1999-04-21,                                           ,                                    1940.554,                            ,                        0.000,                            ,                      175.419,                     1612.600,                      1508.082,                           ,                       4.049,                            ,                       27.084,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                      yield,                     6375.720,                      6854.917
  BaxtersSowing23NovPopulation2,          1999-04-27,           1999-04-23,                                   1695.700,                                    1656.601,                            ,                        0.000,                            ,                      101.894,                     1056.030,                      1048.906,                           ,                       3.174,                            ,                       18.039,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                      yield,                     4554.340,                      4767.756
  BaxtersSowing23NovPopulation4,          1999-04-27,           1999-04-23,                                   1695.700,                                    1656.601,                            ,                        0.000,                            ,                      109.688,                     1415.110,                      1193.410,                           ,                       3.546,                            ,                       20.706,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                      yield,                     5886.000,                      5424.590
   BaxtersSowing2NovPopulation2,          1999-04-27,           1999-04-24,                                   1854.280,                                    1824.233,                            ,                        0.000,                            ,                      130.400,                     1402.460,                      1233.149,                           ,                       4.099,                            ,                       21.961,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                      yield,                     5702.160,                      5605.225
   BaxtersSowing2NovPopulation4,          1999-04-27,           1999-04-24,                                   1854.280,                                    1824.233,                            ,                        0.000,                            ,                      139.754,                     1469.330,                      1365.788,                           ,                       4.241,                            ,                       24.434,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                      yield,                     6147.180,                      6208.127
                   FSPNitrogen0,          2000-10-16,           2000-10-16,                                   1344.380,                                    1344.375,                            ,                        1.642,                            ,                       17.097,                      247.410,                       346.510,                           ,                       0.110,                       3.650,                        2.418,                        ,                    0.050,                                 ,                         30465.731,                                     yield,                                      yield,                     1273.150,                      1925.055
                 FSPNitrogen242,          2000-10-16,           2000-10-16,                                   1344.380,                                    1344.375,                            ,                        6.801,                            ,                       55.778,                      512.780,                       610.779,                           ,                       1.738,                      10.480,                       10.804,                        ,                    0.195,                                 ,                         28672.739,                                     yield,                                      yield,                     2848.770,                      3393.216
                 FSPNitrogen350,          2000-10-16,           2000-10-16,                                   1344.380,                                    1344.375,                            ,                        6.801,                            ,                       55.778,                      534.720,                       610.779,                           ,                       1.738,                      11.610,                       10.804,                        ,                    0.195,                                 ,                         28672.739,                                     yield,                                      yield,                     2969.140,                      3393.216
                 FSPNitrogen472,          2000-10-16,           2000-10-16,                                   1344.380,                                    1344.375,                            ,                        6.801,                            ,                       55.778,                      537.970,                       610.779,                           ,                       1.738,                      11.140,                       10.804,                        ,                    0.195,                                 ,                         28672.739,                                     yield,                                      yield,                     2995.370,                      3393.216
                FUE_NINitrogen0,          2004-11-09,           2004-11-09,                                   1377.520,                                    1377.522,                            ,                        0.000,                            ,                       15.300,                      381.070,                       383.344,                           ,                       0.094,                       4.570,                        2.643,                        ,                    0.000,                                 ,                             0.000,                                     yield,                                      yield,                     2562.210,                      2555.628
