                                    Name,Clock.Today,PotatoHarvestRule.Script.FinalTag,Potato.Leaf.Live.Nconc,Potato.Stem.Live.Nconc,Potato.Tuber.Live.Nconc,Potato.Leaf.Live.Wt,Potato.Stem.Live.Wt,Potato.Tuber.Live.Wt,Potato.Summariser.Total.Live.Wt,Potato.Leaf.LAI,Potato.Leaf.LiveN,Potato.Stem.Live.N,Potato.Tuber.Live.N,Potato.Total.Live.N,Potato.Tuber.DMconc,Potato.Tuber.LiveFWt,Potato.Summariser.AboveGround.Live.Wt,Potato.Summariser.Aboveground.Live.N,ExtraVariables.Script.AccumTtemerg,Potato.Summariser.AboveGround.Dead.N,Potato.Summariser.AboveGroundDeadWt,Potato.Leaf.SpecificArea
           BaxtersSowing14OctPopulation2, 1998-12-07,                                 ,                      ,                      ,                       ,             23.630,             12.980,               5.530,                         78.740,          0.560,                 ,                  ,                   ,                   ,              0.167,              33.280,                               36.610,                                    ,                           226.510,                                    ,                                   ,               23720.381
           BaxtersSowing14OctPopulation2, 1998-12-21,                                 ,                      ,                      ,                       ,             73.440,             56.430,              63.200,                        322.940,          2.010,                 ,                  ,                   ,                   ,              0.160,             382.860,                              129.870,                                    ,                           397.280,                                    ,                                   ,               27288.859
           BaxtersSowing14OctPopulation2, 1999-01-05,                                 ,                      ,                      ,                       ,            132.690,            132.210,             393.650,                        923.450,          3.920,                 ,                  ,                   ,                   ,              0.206,            1883.300,                              264.900,                                    ,                           594.260,                                    ,                                   ,               28989.779
           BaxtersSowing14OctPopulation2, 1999-01-18,                                 ,                      ,                      ,                       ,            153.580,            180.070,             413.710,                       1081.020,          4.690,                 ,                  ,                   ,                   ,              0.145,            3020.390,                              333.660,                                    ,                           770.470,                                    ,                                   ,               30716.930
           BaxtersSowing14OctPopulation2, 1999-02-01,                                 ,                      ,                      ,                       ,            138.610,            170.770,             896.880,                       1515.640,          4.060,                 ,                  ,                   ,                   ,              0.230,            3883.220,                              309.380,                                    ,                           961.250,                                    ,                                   ,               29311.250
           BaxtersSowing14OctPopulation2, 1999-02-15,                                 ,                      ,                      ,                       ,            117.590,            176.060,            1113.440,                       1700.740,          3.300,                 ,                  ,                   ,                   ,              0.221,            5079.040,                              293.650,                                    ,                          1156.600,                                    ,                                   ,               28059.910
           BaxtersSowing14OctPopulation2, 1999-03-01,                                 ,                      ,                      ,                       ,             87.220,            203.510,            1455.390,                       2036.850,          2.700,                 ,                  ,                   ,                   ,              0.246,            5903.020,                              290.730,                                    ,                          1333.060,                                    ,                                   ,               31000.000
           BaxtersSowing14OctPopulation2, 1999-03-16,                                 ,                      ,                      ,                       ,             42.500,            169.990,            1585.270,                       2010.240,          1.320,                 ,                  ,                   ,                   ,              0.255,            6206.560,                              212.480,                                    ,                          1526.820,                                    ,                                   ,               31000.000
           BaxtersSowing14OctPopulation2, 1999-04-27,                            yield,                      ,                      ,                       ,                   ,                   ,            1565.910,                       1565.910,               ,                 ,                  ,                   ,                   ,              0.245,            6390.690,                                     ,                                    ,                                  ,                                    ,                                   ,                        
           BaxtersSowing14OctPopulation4, 1998-12-07,                                 ,                      ,                      ,                       ,             37.790,             29.400,               7.240,                        141.610,          0.970,                 ,                  ,                   ,                   ,              0.224,              26.020,                               67.190,                                    ,                           226.510,                                    ,                                   ,               25652.760
           BaxtersSowing14OctPopulation4, 1998-12-21,                                 ,                      ,                      ,                       ,             92.960,             69.760,             111.040,                        436.480,          2.700,                 ,                  ,                   ,                   ,              0.167,             660.890,                              162.720,                                    ,                           397.280,                                    ,                                   ,               29193.660
           BaxtersSowing14OctPopulation4, 1999-01-05,                                 ,                      ,                      ,                       ,            129.450,            124.320,             419.430,                        926.980,          3.660,                 ,                  ,                   ,                   ,              0.218,            1913.490,                              253.770,                                    ,                           594.260,                                    ,                                   ,               28373.471
           BaxtersSowing14OctPopulation4, 1999-01-18,                                 ,                      ,                      ,                       ,            153.880,            166.540,             643.150,                       1283.980,          4.670,                 ,                  ,                   ,                   ,              0.195,            3353.750,                              320.420,                                    ,                           770.470,                                    ,                                   ,               30349.551
           BaxtersSowing14OctPopulation4, 1999-02-01,                                 ,                      ,                      ,                       ,            158.780,            187.830,            1166.920,                       1860.140,          5.440,                 ,                  ,                   ,                   ,              0.240,            4861.320,                              346.610,                                    ,                           961.250,                                    ,                                   ,               34071.930
           BaxtersSowing14OctPopulation4, 1999-02-15,                                 ,                      ,                      ,                       ,            100.650,            160.240,            1214.670,                       1736.460,          3.300,                 ,                  ,                   ,                   ,              0.251,            4801.580,                              260.890,                                    ,                          1156.600,                                    ,                                   ,               32752.221
           BaxtersSowing14OctPopulation4, 1999-03-01,                                 ,                      ,                      ,                       ,             74.930,            174.850,            1574.490,                       2074.060,          2.550,                 ,                  ,                   ,                   ,              0.257,            6132.610,                              249.780,                                    ,                          1333.060,                                    ,                                   ,               34000.000
           BaxtersSowing14OctPopulation4, 1999-03-16,                                 ,                      ,                      ,                       ,             33.090,            132.350,            1534.130,                       1865.010,          1.120,                 ,                  ,                   ,                   ,              0.252,            6082.390,                              165.440,                                    ,                          1526.820,                                    ,                                   ,               34000.000
           BaxtersSowing14OctPopulation4, 1999-04-27,                            yield,                      ,                      ,                       ,                   ,                   ,            1612.600,                       1612.600,               ,                 ,                  ,                   ,                   ,              0.252,            6375.720,                                     ,                                    ,                                  ,                                    ,                                   ,                        
           BaxtersSowing23NovPopulation2, 1999-01-05,                                 ,                      ,                      ,                       ,             68.710,             49.080,              33.830,                        269.400,          1.710,                 ,                  ,                   ,                   ,              0.165,             198.230,                              117.780,                                    ,                           290.650,                                    ,                                   ,               24631.859
           BaxtersSowing23NovPopulation2, 1999-01-18,                                 ,                      ,                      ,                       ,            110.290,            103.600,             167.970,                        595.740,          3.470,                 ,                  ,                   ,                   ,              0.163,            1021.390,                              213.890,                                    ,                           466.870,                                    ,                                   ,               31103.230
           BaxtersSowing23NovPopulation2, 1999-02-01,                                 ,                      ,                      ,                       ,            135.330,            202.580,             379.320,                       1055.150,          4.430,                 ,                  ,                   ,                   ,              0.187,            1982.070,                              337.910,                                    ,                           657.650,                                    ,                                   ,               32452.850
           BaxtersSowing23NovPopulation2, 1999-02-15,                                 ,                      ,                      ,                       ,            127.150,            186.740,             598.810,                       1226.590,          4.200,                 ,                  ,                   ,                   ,              0.222,            2726.330,                              313.890,                                    ,                           853.000,                                    ,                                   ,               33078.121
           BaxtersSowing23NovPopulation2, 1999-03-01,                                 ,                      ,                      ,                       ,             91.040,            212.420,            1038.550,                       1645.480,          2.820,                 ,                  ,                   ,                   ,              0.214,            4840.940,                              303.460,                                    ,                          1029.460,                                    ,                                   ,               31000.000
           BaxtersSowing23NovPopulation2, 1999-03-16,                                 ,                      ,                      ,                       ,             42.810,            171.260,            1061.210,                       1489.350,          1.330,                 ,                  ,                   ,                   ,              0.229,            4644.190,                              214.070,                                    ,                          1223.220,                                    ,                                   ,               31000.000
           BaxtersSowing23NovPopulation2, 1999-03-28,                                 ,                      ,                      ,                       ,             23.800,             95.210,            1002.700,                       1240.720,          0.740,                 ,                  ,                   ,                   ,              0.243,            4104.220,                              119.010,                                    ,                          1378.360,                                    ,                                   ,               31000.000
           BaxtersSowing23NovPopulation2, 1999-04-27,                            yield,                      ,                      ,                       ,                   ,                   ,            1056.030,                       1056.030,               ,                 ,                  ,                   ,                   ,              0.232,            4554.340,                                     ,                                    ,                          1695.700,                                    ,                                   ,                        
           BaxtersSowing23NovPopulation4, 1999-01-05,                                 ,                      ,                      ,                       ,             88.480,             66.210,              47.200,                        356.580,          2.290,                 ,                  ,                   ,                   ,              0.169,             279.360,                              154.690,                                    ,                           290.650,                                    ,                                   ,               25892.529
           BaxtersSowing23NovPopulation4, 1999-01-18,                                 ,                      ,                      ,                       ,            132.950,            135.090,             262.480,                        798.560,          4.420,                 ,                  ,                   ,                   ,              0.186,            1388.090,                              268.040,                                    ,                           466.870,                                    ,                                   ,               33172.852
           BaxtersSowing23NovPopulation4, 1999-02-01,                                 ,                      ,                      ,                       ,            162.590,            233.010,             507.040,                       1298.240,          5.380,                 ,                  ,                   ,                   ,              0.192,            2584.990,                              395.600,                                    ,                           657.650,                                    ,                                   ,               32893.301
           BaxtersSowing23NovPopulation4, 1999-02-15,                                 ,                      ,                      ,                       ,            134.480,            182.620,             798.760,                       1432.960,          4.520,                 ,                  ,                   ,                   ,              0.231,            3402.310,                              317.100,                                    ,                           853.000,                                    ,                                   ,               33591.129
           BaxtersSowing23NovPopulation4, 1999-03-01,                                 ,                      ,                      ,                       ,             94.550,            220.610,            1139.930,                       1770.230,          3.210,                 ,                  ,                   ,                   ,              0.228,            4991.120,                              315.150,                                    ,                          1029.460,                                    ,                                   ,               34000.000
           BaxtersSowing23NovPopulation4, 1999-03-16,                                 ,                      ,                      ,                       ,             54.990,            219.970,            1446.400,                       1996.330,          1.870,                 ,                  ,                   ,                   ,              0.232,            6289.390,                              274.960,                                    ,                          1223.220,                                    ,                                   ,               34000.000
           BaxtersSowing23NovPopulation4, 1999-03-28,                                 ,                      ,                      ,                       ,             55.870,            223.490,            2093.800,                       2652.530,          1.900,                 ,                  ,                   ,                   ,              0.232,            8960.520,                              279.360,                                    ,                          1378.360,                                    ,                                   ,               34000.000
           BaxtersSowing23NovPopulation4, 1999-04-27,                            yield,                      ,                      ,                       ,                   ,                   ,            1415.110,                       1415.110,               ,                 ,                  ,                   ,                   ,              0.240,            5886.000,                                     ,                                    ,                          1695.700,                                    ,                                   ,                        
            BaxtersSowing2NovPopulation2, 1998-12-21,                                 ,                      ,                      ,                       ,             50.400,             37.650,               5.090,                        181.180,          1.330,                 ,                  ,                   ,                   ,              0.179,              31.310,                               88.050,                                    ,                           252.260,                                    ,                                   ,               26325.260
            BaxtersSowing2NovPopulation2, 1999-01-05,                                 ,                      ,                      ,                       ,            101.110,             83.350,             109.840,                        478.770,          2.800,                 ,                  ,                   ,                   ,              0.165,             643.470,                              184.460,                                    ,                           449.230,                                    ,                                   ,               27106.039
            BaxtersSowing2NovPopulation2, 1999-01-18,                                 ,                      ,                      ,                       ,            131.330,            140.380,             172.510,                        715.940,          3.650,                 ,                  ,                   ,                   ,              0.096,            1786.220,                              271.720,                                    ,                           625.450,                                    ,                                   ,               27762.520
            BaxtersSowing2NovPopulation2, 1999-02-01,                                 ,                      ,                      ,                       ,            127.060,            181.200,             561.940,                       1178.460,          3.930,                 ,                  ,                   ,                   ,              0.213,            2639.460,                              308.260,                                    ,                           816.230,                                    ,                                   ,               30730.740
