                     Name,Clock.Today,Potato.Leaf.AppearedCohortNo,LeafNodeNoerror,LeafBranchNo
    PotatoCultivarBurbank, 2003-11-24,                       7.300,          0.800,       7.330
    PotatoCultivarBurbank, 2003-12-01,                      10.800,          2.200,      11.250
    PotatoCultivarBurbank, 2003-12-09,                      11.800,          0.800,      13.010
    PotatoCultivarBurbank, 2003-12-17,                      16.800,          1.300,      19.170
    PotatoCultivarBurbank, 2003-12-24,                      18.800,          1.000,      22.930
    PotatoCultivarBurbank, 2003-12-29,                      20.300,          2.000,      26.850
    PotatoCultivarBurbank, 2004-01-05,                      23.200,          1.900,      34.560
    PotatoCultivarBurbank, 2004-01-12,                      26.200,          2.500,      41.620
    PotatoCultivarBurbank, 2004-01-20,                      27.800,          2.700,      47.250
    PotatoCultivarBurbank, 2004-01-29,                      29.000,          2.800,      52.440
    PotatoCultivarBurbank, 2004-02-02,                      31.500,          3.800,      58.870
    PotatoCultivarBurbank, 2004-02-08,                      32.300,          3.800,      60.990
    PotatoCultivarBurbank, 2004-02-16,                      32.800,          3.900,      62.700
    PotatoCultivarBurbank, 2004-02-24,                      32.800,          3.600,      63.210
    PotatoCultivarBurbank, 2004-03-01,                      33.000,          3.700,      63.870
    PotatoCultivarHorizon, 2003-11-24,                       8.500,          1.000,       8.500
    PotatoCultivarHorizon, 2003-12-01,                       8.800,          1.800,       9.180
    PotatoCultivarHorizon, 2003-12-09,                      13.200,          1.000,      14.470
    PotatoCultivarHorizon, 2003-12-17,                      17.700,          1.400,      20.120
    PotatoCultivarHorizon, 2003-12-24,                      20.500,          0.800,      24.960
    PotatoCultivarHorizon, 2003-12-29,                      22.300,          1.200,      29.490
    PotatoCultivarHorizon, 2004-01-05,                      24.200,          1.300,      36.060
    PotatoCultivarHorizon, 2004-01-12,                      26.500,          2.000,      42.150
    PotatoCultivarHorizon, 2004-01-20,                      28.000,          2.900,      47.530
    PotatoCultivarHorizon, 2004-01-29,                      28.500,          2.700,      51.540
    PotatoCultivarHorizon, 2004-02-02,                      28.700,          2.800,      53.570
    PotatoCultivarHorizon, 2004-02-08,                      28.800,          3.000,      54.390
    PotatoCultivarHorizon, 2004-02-16,                      29.200,          3.300,      55.700
    PotatoCultivarHorizon, 2004-02-24,                      29.300,          3.400,      56.470
