                             Name,Experiment,   cultivar,Clock.Today,Potato.Leaf.CoverGreen,Cover_toterror
    BaxtersSowing14OctPopulation2,   Baxters,    Burbank, 1998-12-07,                 0.330,         0.133
    BaxtersSowing14OctPopulation2,   Baxters,    Burbank, 1998-12-20,                 0.650,         0.106
    BaxtersSowing14OctPopulation2,   Baxters,    Burbank, 1998-12-31,                 0.850,         0.067
    BaxtersSowing14OctPopulation4,   Baxters,    Burbank, 1998-12-07,                 0.310,         0.165
    BaxtersSowing14OctPopulation4,   Baxters,    Burbank, 1998-12-20,                 0.780,         0.119
    BaxtersSowing14OctPopulation4,   Baxters,    Burbank, 1998-12-31,                 0.910,         0.026
    BaxtersSowing23NovPopulation2,   Baxters,    Burbank, 1998-12-07,                 0.000,         0.000
    BaxtersSowing23NovPopulation2,   Baxters,    Burbank, 1998-12-20,                 0.110,         0.062
    BaxtersSowing23NovPopulation2,   Baxters,    Burbank, 1998-12-31,                 0.350,         0.055
    BaxtersSowing23NovPopulation4,   Baxters,    Burbank, 1998-12-07,                 0.000,         0.000
    BaxtersSowing23NovPopulation4,   Baxters,    Burbank, 1998-12-20,                 0.120,         0.036
    BaxtersSowing23NovPopulation4,   Baxters,    Burbank, 1998-12-31,                 0.520,         0.056
     BaxtersSowing2NovPopulation2,   Baxters,    Burbank, 1998-12-07,                 0.230,         0.020
     BaxtersSowing2NovPopulation2,   Baxters,    Burbank, 1998-12-20,                 0.460,         0.052
     BaxtersSowing2NovPopulation2,   Baxters,    Burbank, 1998-12-31,                 0.670,         0.116
     BaxtersSowing2NovPopulation4,   Baxters,    Burbank, 1998-12-07,                 0.190,         0.012
     BaxtersSowing2NovPopulation4,   Baxters,    Burbank, 1998-12-20,                 0.510,         0.096
     BaxtersSowing2NovPopulation4,   Baxters,    Burbank, 1998-12-31,                 0.790,         0.046
           lynettsFertiliser1_Nil,   Lynetts,    Burbank, 1992-12-14,                 0.240,         0.154
           lynettsFertiliser1_Nil,   Lynetts,    Burbank, 1992-12-28,                 0.760,         0.019
           lynettsFertiliser1_Nil,   Lynetts,    Burbank, 1993-01-11,                 0.910,         0.025
           lynettsFertiliser1_Nil,   Lynetts,    Burbank, 1993-01-25,                 0.960,         0.024
           lynettsFertiliser1_Nil,   Lynetts,    Burbank, 1993-02-10,                 0.950,         0.031
           lynettsFertiliser1_Nil,   Lynetts,    Burbank, 1993-02-22,                 0.920,         0.020
           lynettsFertiliser1_Nil,   Lynetts,    Burbank, 1993-03-08,                 0.720,         0.162
           lynettsFertiliser1_Nil,   Lynetts,    Burbank, 1993-03-26,                 0.120,         0.055
 lynettsFertiliser2_75kg_planting,   Lynetts,    Burbank, 1992-12-14,                 0.260,         0.196
 lynettsFertiliser2_75kg_planting,   Lynetts,    Burbank, 1992-12-28,                 0.790,         0.021
 lynettsFertiliser2_75kg_planting,   Lynetts,    Burbank, 1993-01-11,                 0.960,         0.021
 lynettsFertiliser2_75kg_planting,   Lynetts,    Burbank, 1993-01-25,                 0.970,         0.014
 lynettsFertiliser2_75kg_planting,   Lynetts,    Burbank, 1993-02-10,                 0.970,         0.019
 lynettsFertiliser2_75kg_planting,   Lynetts,    Burbank, 1993-02-22,                 0.970,         0.014
 lynettsFertiliser2_75kg_planting,   Lynetts,    Burbank, 1993-03-08,                 0.880,         0.071
 lynettsFertiliser2_75kg_planting,   Lynetts,    Burbank, 1993-03-26,                 0.240,         0.096
lynettsFertiliser3_150kg_planting,   Lynetts,    Burbank, 1992-12-14,                 0.320,         0.135
lynettsFertiliser3_150kg_planting,   Lynetts,    Burbank, 1992-12-28,                 0.810,         0.048
lynettsFertiliser3_150kg_planting,   Lynetts,    Burbank, 1993-01-11,                 0.960,         0.010
lynettsFertiliser3_150kg_planting,   Lynetts,    Burbank, 1993-01-25,                 0.980,         0.009
lynettsFertiliser3_150kg_planting,   Lynetts,    Burbank, 1993-02-10,                 0.970,         0.018
lynettsFertiliser3_150kg_planting,   Lynetts,    Burbank, 1993-02-22,                 0.950,         0.025
lynettsFertiliser3_150kg_planting,   Lynetts,    Burbank, 1993-03-08,                 0.910,         0.059
lynettsFertiliser3_150kg_planting,   Lynetts,    Burbank, 1993-03-26,                 0.490,         0.199
lynettsFertiliser4_300kg_planting,   Lynetts,    Burbank, 1992-12-14,                 0.330,         0.188
lynettsFertiliser4_300kg_planting,   Lynetts,    Burbank, 1992-12-28,                 0.780,         0.077
lynettsFertiliser4_300kg_planting,   Lynetts,    Burbank, 1993-01-11,                 0.960,         0.023
lynettsFertiliser4_300kg_planting,   Lynetts,    Burbank, 1993-01-25,                 0.970,         0.019
lynettsFertiliser4_300kg_planting,   Lynetts,    Burbank, 1993-02-10,                 0.990,         0.013
lynettsFertiliser4_300kg_planting,   Lynetts,    Burbank, 1993-02-22,                 0.980,         0.006
lynettsFertiliser4_300kg_planting,   Lynetts,    Burbank, 1993-03-08,                 0.930,         0.014
lynettsFertiliser4_300kg_planting,   Lynetts,    Burbank, 1993-03-26,                 0.510,         0.143
    lynettsFertiliser5_75kg_split,   Lynetts,    Burbank, 1992-12-14,                 0.380,         0.197
    lynettsFertiliser5_75kg_split,   Lynetts,    Burbank, 1992-12-28,                 0.800,         0.013
    lynettsFertiliser5_75kg_split,   Lynetts,    Burbank, 1993-01-11,                 0.950,         0.013
    lynettsFertiliser5_75kg_split,   Lynetts,    Burbank, 1993-01-25,                 0.980,         0.013
    lynettsFertiliser5_75kg_split,   Lynetts,    Burbank, 1993-02-10,                 0.970,         0.013
    lynettsFertiliser5_75kg_split,   Lynetts,    Burbank, 1993-02-22,                 0.960,         0.023
    lynettsFertiliser5_75kg_split,   Lynetts,    Burbank, 1993-03-08,                 0.890,         0.029
    lynettsFertiliser5_75kg_split,   Lynetts,    Burbank, 1993-03-26,                 0.260,         0.123
   lynettsFertiliser6_150kg_split,   Lynetts,    Burbank, 1992-12-14,                 0.460,         0.159
   lynettsFertiliser6_150kg_split,   Lynetts,    Burbank, 1992-12-28,                 0.810,         0.027
   lynettsFertiliser6_150kg_split,   Lynetts,    Burbank, 1993-01-11,                 0.940,         0.020
   lynettsFertiliser6_150kg_split,   Lynetts,    Burbank, 1993-01-25,                 0.980,         0.012
   lynettsFertiliser6_150kg_split,   Lynetts,    Burbank, 1993-02-10,                 0.970,         0.009
   lynettsFertiliser6_150kg_split,   Lynetts,    Burbank, 1993-02-22,                 0.970,         0.017
   lynettsFertiliser6_150kg_split,   Lynetts,    Burbank, 1993-03-08,                 0.860,         0.057
   lynettsFertiliser6_150kg_split,   Lynetts,    Burbank, 1993-03-26,                 0.450,         0.197
